residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
12, 114.2164448, 22.72955162, 1293732, 26136, 1
980, 113.9092736, 22.48390027, 2717550, 54900, 1
936, 114.2221366, 22.6951384, 1409400, 31121.829680601608, 1
151, 113.931892, 22.51493316, 3033855, 67669.11242812799, 1
116, 114.1298549, 22.55264981, 1505594, 33581.765873363336, 1
663, 113.880545, 22.56089154, 2386800, 47736, 1
1376, 113.9066951, 22.52846257, 2203200, 44064, 1
112, 114.017922, 22.73325281, 963603, 19272.06, 1
309, 114.0463786, 22.62462621, 1558359, 31482, 1
583, 114.1273812, 22.56908371, 1557094, 31141.88, 1
1255, 114.2587965, 22.73161223, 813929, 16443, 1
1388, 114.2101908, 22.70825517, 646920, 12938.4, 1
1233, 114.1287442, 22.55567899, 1343806, 27147.6, 1
127, 113.9419285, 22.55326824, 2648025, 52960.5, 1
297, 114.1167624, 22.56310054, 1521615, 30432.3, 1
1374, 114.0923279, 22.55550622, 2239650, 44793, 1
1128, 114.0236514, 22.62886945, 2044557, 40891.14, 1
476, 114.0056544, 22.53746564, 2053606, 41486.98, 1
1246, 113.9304681, 22.48321564, 2978500, 55454.74161839999, 2
174, 113.936328, 22.49790164, 3314520, 66960, 1
1206, 113.9154325, 22.50045744, 2315736, 51135.19325758311, 1
869, 113.9884952, 22.54482949, 2942433, 64973.675800043726, 1
1326, 114.0404352, 22.56107122, 2260022, 50409.0172317024, 1
1400, 114.2538351, 22.73217567, 1093500, 21870, 1
59, 114.2483577, 22.72462565, 783189, 15822, 1
1445, 113.9265884, 22.48453495, 2740500, 54810, 1
322, 114.2122946, 22.72380437, 1291901, 26099, 1
83, 114.2302536, 22.70924145, 1314359, 29316.32634312864, 0
210, 113.8170674, 22.69635996, 1143153, 25497.642069100802, 1
1198, 114.1203709, 22.59595002, 1218888, 24624, 1
844, 114.0410513, 22.56905086, 1541700, 30834, 1
1018, 113.9049635, 22.47629877, 2166048, 43320.96, 1
452, 114.1218402, 22.55305093, 2080369, 41607.38, 1
73, 114.0821844, 22.57725959, 1660824, 33552, 1
674, 113.9013839, 22.5753663, 2306030, 46586.46, 1
921, 113.9144555, 22.49428932, 2223936, 44928, 1
1291, 113.9327439, 22.51752828, 2459160, 49680, 1
1170, 114.0624727, 22.62353595, 1496880, 30240, 1
632, 113.8885349, 22.5522118, 4022915, 72652.9861481823, 4
1105, 114.2045003, 22.7136677, 1127311, 23004, 1
1440, 114.0686703, 22.61984124, 1577070, 31860, 1
1352, 114.0548224, 22.51337137, 1891350, 41764.0645426464, 1
135, 113.8740527, 22.59011904, 1566378, 31644, 1
466, 114.0159932, 22.66481946, 1210869, 24462, 1
43, 113.9064691, 22.57201045, 1880311, 37986.08, 1
1429, 114.3340605, 22.68856789, 717139, 14634, 1
368, 114.0451706, 22.51174816, 2115000, 42300, 1
451, 114.0394543, 22.62014133, 1441800, 28836, 1
952, 114.2472287, 22.60039407, 1429893, 28597.86, 1
760, 114.0724755, 22.5421678, 1144899, 23129.28, 1
678, 113.85475, 22.61522675, 1296000, 25920, 1
15, 113.922359, 22.52020784, 1671765, 33773.04, 1
222, 114.0639037, 22.53085766, 1755900, 35118, 1
1186, 114.2044037, 22.65303021, 1269140, 25639.2, 1
1118, 113.9597256, 22.54909352, 5619213, 112384.26, 1
308, 113.8736143, 22.57363596, 1959937, 39594.68, 1
139, 113.9203572, 22.53052668, 1725300, 34506, 1
1373, 114.3348848, 22.68106926, 912600, 18252, 1
1086, 114.1521987, 22.61530084, 1290600, 25812, 1
470, 113.8213466, 22.68751168, 1350000, 27000, 1
999, 113.9379107, 22.76365792, 1263600, 25272, 1
450, 114.0190381, 22.52747006, 2241000, 44820, 1
747, 114.0634086, 22.53870217, 1533600, 30672, 1
69, 113.9970249, 22.59258247, 2266704, 45792, 1
1337, 113.8933541, 22.58630872, 1252800, 25056, 1
990, 114.1021445, 22.61419985, 832543, 16988.94, 1
455, 113.9604081, 22.59344042, 2295000, 45900, 1
57, 114.0403301, 22.5338741, 1833844, 40903.27898523956, 1
1494, 114.1319202, 22.6117906, 1028797, 20783.78, 1
704, 113.924925, 22.56193358, 1603800, 32400, 1
54, 114.3871403, 22.71081409, 969381, 19387.62, 1
545, 114.2819348, 22.73821424, 837000, 16740, 1
483, 114.1315695, 22.60643929, 1457676, 29448, 1
890, 113.8840849, 22.55088219, 2721600, 54432, 1
1385, 113.9755917, 22.56720268, 2062800, 41256, 1
460, 114.0527146, 22.57151037, 1511829, 30236.58, 1
855, 114.2390716, 22.55917562, 1538365, 33969.585296295365, 1
330, 114.041099, 22.60560235, 1944000, 38880, 1
193, 114.2990902, 22.72391568, 924912, 18498.24, 1
453, 114.0147607, 22.54623141, 3472200, 75168.41891904, 1
686, 114.2303179, 22.55400112, 1156073, 23355, 1
430, 113.8197806, 22.67144481, 1389618, 27792.36, 1
717, 114.104608, 22.57488543, 1356214, 27675, 1
606, 114.0829143, 22.55096604, 2910640, 58212.8, 1
60, 113.8827845, 22.49341304, 2394630, 47892.6, 1
376, 113.9248626, 22.49505083, 1802756, 36419.32, 1
1178, 113.9170568, 22.53497487, 1606500, 35474.116206816, 1
589, 113.8259751, 22.68298054, 1199509, 24232.5, 1
462, 114.0605613, 22.57273526, 1824741, 36494.82, 1
242, 113.8728022, 22.55872702, 2362932, 47736, 1
538, 113.8641131, 22.57823681, 1539000, 30780, 1
755, 113.9156862, 22.52466374, 1882460, 38029.5, 1
90, 113.9584741, 22.52832046, 3321000, 66420, 1
1174, 114.1151864, 22.5574876, 1523459, 30776.94, 1
1175, 114.1468428, 22.55594912, 1171416, 23904, 1
232, 114.0634647, 22.71861803, 1216215, 24570, 1
1467, 114.1309326, 22.58914446, 1423679, 28761.2, 1
1102, 114.1155919, 22.56390746, 1380076, 27880.32, 1
367, 113.9245668, 22.48259769, 3100680, 62640, 1
737, 114.054181, 22.59691261, 1949400, 38988, 1
26, 114.4090079, 22.63359562, 648000, 12960, 1
1124, 114.0192611, 22.65543333, 1142708, 23085, 1
5, 114.1369357, 22.60481852, 858033, 17334, 1
622, 114.0549424, 22.56614636, 1649288, 33655.5, 1
1211, 114.1389878, 22.60814403, 850014, 17172, 1
268, 113.8634262, 22.60339678, 1127871, 24905.214391719746, 1
1189, 114.0459589, 22.56174254, 2103300, 42066, 1
0, 113.94610922810455, 22.527054880467904, 2754817, 49751.61451295519, 0
394, 113.979212, 22.54353797, 1925100, 42509.319084806404, 1
489, 114.144408, 22.61981457, 1236600, 24732, 1
734, 113.8998904, 22.580372, 1352992, 27333.18, 1
513, 113.9631976, 22.5273602, 3922866, 70846.12388470695, 0
926, 114.1474494, 22.62468159, 487242, 9744.84, 1
23, 113.9032597, 22.77940868, 1261656, 25488, 1
247, 114.0478585, 22.52515452, 1767825, 35356.5, 1
712, 114.4022505, 22.6204849, 972000, 21463.330814208, 1
972, 113.9194252, 22.55198723, 1956150, 39123, 1
669, 113.9271505, 22.55198567, 1647000, 32940, 1
770, 113.8539062, 22.57822354, 2160000, 43200, 1
615, 113.9840701, 22.59480876, 2254622, 46008, 1
71, 114.1381004, 22.54593566, 1251409, 25028.18, 1
740, 114.0603467, 22.52706101, 1726758, 34884, 1
207, 114.0927183, 22.56881571, 1750383, 35007.66, 1
594, 113.9382846, 22.54399802, 2506776, 45271.856721086006, 0
1350, 113.9477232, 22.53044909, 2636037, 52720.74, 1
808, 114.0369263, 22.60625676, 1512000, 30240, 1
10, 113.9420238, 22.52313946, 3564000, 71280, 1
212, 114.0283921, 22.6298931, 1525500, 30510, 1
718, 113.9455659, 22.52814162, 3520800, 70416, 1
609, 114.218795, 22.55614242, 1099770, 22217.58, 1
661, 113.9114706, 22.49992937, 2857972, 58320, 1
913, 114.0417678, 22.57489347, 2203200, 44064, 1
1031, 114.2429635, 22.74200624, 1097550, 21951, 1
907, 114.0363037, 22.71443239, 1287900, 25758, 1
487, 113.8474183, 22.76878118, 928800, 18576, 1
602, 114.0370273, 22.51970821, 1971000, 39420, 1
1200, 113.9603234, 22.53010472, 2953665, 59670, 1
1137, 114.148322, 22.54468424, 1512000, 30240, 1
84, 114.0661529, 22.61863264, 1545750, 34132.658030927996, 1
311, 113.9402698, 22.58446982, 2745684, 54913.68, 1
188, 113.8035446, 22.67359443, 1412100, 28242, 1
900, 113.8965703, 22.56705401, 1324017, 27018, 1
975, 114.0986663, 22.57202525, 1036456, 21150, 1
947, 114.070736, 22.62335832, 1428300, 28566, 1
541, 113.8150982, 22.68088519, 860706, 19197.7570060416, 0
1487, 114.098734, 22.55382664, 2160000, 43200, 1
1308, 113.8594394, 22.61901935, 1309770, 26460, 1
846, 114.1351283, 22.55780185, 1516050, 30321, 1
866, 114.0753335, 22.53109919, 1891802, 38218.22, 1
208, 114.1211318, 22.57900281, 1318806, 26376.12, 1
1422, 114.1119225, 22.54455996, 1108930, 22402.62, 1
475, 113.9244198, 22.77065499, 1367698, 27909.36, 1
562, 114.128937, 22.57881531, 1605150, 32103, 1
