firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
599, 113.8449586, 22.57688309, 2, 1.2890528905289054, 750420
2012, 114.3199658, 22.72416385, 2, 0, 2677652.120743034
1104, 113.8564083, 22.58683717, 6, 5.1562115621156215, 2895976
892, 114.1020648, 22.59017166, 9, 7.734317343173432, 2819070
1830, 114.3541312, 22.75877108, 2, 1.2890528905289054, 938979
1399, 114.2107963, 22.65930324, 2, 1.2890528905289054, 752238
1439, 114.1083255, 22.54846201, 3, 2.5781057810578107, 2613456
907, 114.128678, 22.56061647, 2, 1.2890528905289054, 1241239
635, 114.0558319, 22.6636871, 14, 11.601476014760147, 5871600
1140, 114.0790509, 22.54727143, 5, 3.867158671586716, 3342987
186, 114.2360842, 22.55783509, 9, 7.734317343173432, 4563342
1469, 113.8380979, 22.76558553, 8, 6.445264452644526, 6180480
1758, 114.3624828, 22.75343579, 5, 3.867158671586716, 3751764
1841, 114.0916162, 22.549222, 5, 3.867158671586716, 2437575
1225, 113.9163977, 22.70164617, 2, 1.2890528905289054, 486624
1006, 113.9370525, 22.74123688, 2, 1.2890528905289054, 601216
585, 113.8551722, 22.73321983, 2, 1.2890528905289054, 721335
531, 114.1261595, 22.70308613, 5, 3.867158671586716, 2818350
870, 114.2642798, 22.72773757, 9, 7.734317343173432, 2984580
871, 114.1266964, 22.55171362, 8, 6.445264452644526, 4108750
193, 113.9338704, 22.49890379, 2, 1.2890528905289054, 1290470
1838, 114.4259074, 22.60700273, 2, 1.2890528905289054, 689955
1614, 114.1876572, 22.64171731, 5, 3.867158671586716, 2994750
257, 114.3024076, 22.66862423, 5, 3.867158671586716, 2064720
1498, 114.0790509, 22.54727143, 9, 7.734317343173432, 6685974
1766, 114.0833317, 22.69787035, 2, 1.2890528905289054, 526864
410, 114.3066361, 22.60150689, 2, 1.2890528905289054, 1276382
663, 114.1233485, 22.56924998, 3, 2.5781057810578107, 2212346
1331, 114.2624986, 22.59287108, 9, 7.734317343173432, 6564150
88, 114.0997403, 22.72885792, 2, 1.2890528905289054, 1329588
332, 114.102483, 22.54850495, 3, 2.5781057810578107, 1364958
541, 114.0957679, 22.56965336, 8, 6.445264452644526, 5441275
1458, 113.8282047, 22.73376795, 8, 6.445264452644526, 3590760
888, 113.8262562, 22.78336177, 2, 1.2890528905289054, 951345
161, 113.9792634, 22.53515726, 14, 11.601476014760147, 9501120
1317, 113.9082934, 22.5348752, 2, 1.2890528905289054, 877268
259, 113.9321561, 22.78251295, 8, 6.445264452644526, 5782350
1902, 114.0527624, 22.63151064, 3, 2.5781057810578107, 1749840
1315, 114.1074937, 22.54258289, 3, 2.5781057810578107, 2478284
1383, 113.9262857, 22.4872279, 3, 2.5781057810578107, 2036166
1241, 113.8296581, 22.72516813, 2, 1.2890528905289054, 471675
588, 113.8159333, 22.72504131, 5, 3.867158671586716, 1614354
465, 113.9057843, 22.67033037, 2, 1.2890528905289054, 797800
1150, 113.98464, 22.59929414, 2, 1.2890528905289054, 1428921
1960, 114.2435979, 22.58241509, 3, 2.5781057810578107, 2746806
