CID,Price,Capacity,Long,Lat
255,20000,72,116.40604100000,39.81617500000
256,16000,39,116.28267600000,39.91700800000
257,8000,18,116.40714500000,40.62956100000
258,13000,42,116.59320200000,39.73461000000
259,30000,93,116.50083100000,39.84457500000
260,13000,75,116.56202700000,39.77729500000
261,12000,18,116.82361700000,40.08139900000
262,16000,105,116.27643700000,39.81113900000
263,20000,45,116.13102900000,39.87981000000
264,18000,60,116.17182300000,40.13588000000
265,30000,75,116.40253500000,39.94316800000
266,16000,18,116.43186800000,39.87005500000
267,13000,60,116.67993600000,39.87024500000
268,14000,63,116.70971900000,39.82122400000
269,35000,269,116.54113000000,39.90319500000
270,18000,42,116.21865800000,39.82896100000
271,13000,57,116.35249400000,39.76713400000
272,12000,36,116.64824800000,40.09588400000
273,13000,57,116.66885100000,39.97828900000
274,13000,45,116.39679600000,39.69384600000
275,13000,54,116.26443700000,39.70960600000
276,13000,12,116.05225200000,39.68498900000
277,20000,72,116.21075100000,39.96911100000
278,20000,75,116.34876400000,39.93103500000
279,14000,33,116.36561800000,39.71580400000
280,25000,48,116.62728100000,39.99780100000
281,20000,9,116.50073700000,40.01531100000
282,13000,39,116.25848500000,40.31776300000
283,22000,42,116.37945000000,39.84360600000
284,20000,24,116.19440600000,40.06852600000
285,14000,51,116.15662800000,39.92549300000
286,12000,21,116.67817400000,40.04361600000
287,14000,48,116.48765700000,39.77544500000
288,12000,18,116.24689700000,39.63526300000
289,13000,18,116.42687900000,39.60189700000
290,12000,87,116.62569400000,40.11438600000
291,12000,18,116.71038400000,39.94413500000
292,14000,75,116.24686600000,40.22031000000
293,14000,99,116.40311300000,40.15634200000
294,14000,9,116.30257600000,40.14886300000
295,11000,27,116.71683300000,40.36459800000
296,12000,18,116.67181300000,40.11152200000
297,30000,78,116.48193200000,39.98281700000
298,18000,39,116.23645300000,40.13331500000
299,14000,36,116.29166300000,40.19831100000
300,18000,39,116.18474800000,39.99421700000
301,25000,60,116.54669500000,39.84949400000
302,8000,18,116.63410700000,40.38532900000
303,13000,36,116.18315400000,39.76413000000
304,16000,48,116.23352500000,39.98705300000
305,20000,27,116.28395100000,40.02529000000
306,13000,24,116.21193200000,39.69176900000
307,30000,69,116.52075100000,40.04767300000
308,16000,93,116.23043400000,40.06948600000
309,13000,63,116.17229200000,39.61357000000
310,16000,33,116.18453600000,39.87783100000
311,20000,42,116.27515900000,39.86930200000
312,14000,9,116.10845100000,40.25058300000
313,13000,87,116.39739800000,39.74382500000
314,12000,36,116.72224800000,40.20213400000
315,30000,114,116.39479200000,39.86180500000
316,14000,69,116.32652300000,39.75973300000
317,14000,15,116.19572500000,39.90526600000
318,14000,45,116.07207900000,39.96677700000
319,13000,39,116.06424900000,39.77675300000
320,13000,33,116.91882700000,40.11419800000
321,18000,24,116.18708600000,39.86230700000
322,25000,60,116.61886600000,39.94191700000
323,12000,42,116.66380300000,39.92520400000
324,20000,69,116.21531700000,40.03601600000
