ScID,Category,Lat,Long,Capacity,Staff
2115,2,39.94793500000,116.26339200000,12,3
2116,2,39.73343200000,116.12481800000,12,3
2117,2,40.03292900000,116.65894000000,12,3
2118,2,40.26978100000,116.22368300000,16,4
2119,2,40.36988700000,116.85733000000,16,4
2120,2,40.14938400000,116.49268400000,16,4
2121,2,39.92117400000,116.15629500000,16,4
2122,2,40.49732400000,115.87053900000,16,4
2123,2,40.10626600000,116.31732000000,16,4
2124,2,40.17116900000,116.38513400000,16,4
2125,2,40.28057400000,116.86655200000,8,2
2475,2,40.12417100000,116.66374700000,8,2
2478,2,39.89727259000,116.75441150000,16,4
2481,2,39.94034299000,116.49107390000,16,4
2482,2,39.82400650000,116.57125910000,16,4
2126,3,40.37979500000,116.61979000000,11,3
2127,3,39.93195000000,116.21452800000,11,3
2128,3,39.96663300000,116.22041000000,11,3
2129,3,39.86492000000,116.02597900000,11,3
2130,3,39.98508900000,116.36497300000,11,3
2131,3,39.92100400000,116.30213000000,11,3
2132,3,40.03641700000,116.20959300000,11,3
2133,3,40.09018000000,116.32389200000,11,3
2134,3,39.90649500000,116.30735100000,11,3
2135,3,39.93038800000,116.59523800000,11,3
2136,3,39.80240000000,116.54630400000,11,3
2137,3,39.95976600000,116.29757500000,11,3
2138,3,39.95555100000,116.24350000000,11,3
2139,3,39.97638100000,116.59236900000,11,3
2140,3,40.02859600000,116.50847800000,11,3
2141,3,39.72819800000,116.79509500000,11,3
2142,3,39.99264700000,116.37289400000,11,3
2143,3,39.95946100000,116.57685600000,11,3
2144,3,40.19633100000,116.95856900000,11,3
2145,3,39.88411900000,116.41444000000,11,3
2146,3,39.71173200000,116.39488800000,11,3
2147,3,39.92709200000,116.36972300000,11,3
2148,3,40.22922500000,116.37768200000,11,3
2149,3,39.85689300000,115.88813000000,11,3
2150,3,39.89426400000,116.32721500000,11,3
2151,3,39.85521600000,116.46492700000,11,3
2152,3,39.86052600000,116.54748700000,11,3
2153,3,40.02904600000,116.42471200000,11,3
2154,3,39.94678700000,116.20682900000,11,3
2155,3,39.87323800000,116.25820100000,11,3
2156,3,39.96493200000,116.40511800000,11,3
2157,3,40.52846000000,115.80052600000,12,3
2158,3,40.41715500000,116.47898100000,12,3
2159,3,39.79239800000,116.32981300000,12,3
2160,3,39.74234700000,116.24855700000,12,3
2161,3,40.32944200000,116.63299500000,12,3
2162,3,40.00649000000,116.59033700000,12,3
2163,3,39.98030500000,116.42481200000,12,3
2164,3,39.94286700000,116.40776200000,12,3
2165,3,39.92556500000,116.12083600000,12,3
2166,3,39.82583100000,116.49918400000,12,3
2167,3,39.92800900000,116.43481100000,12,3
2168,3,40.07639100000,116.58639200000,12,3
2169,3,39.90182300000,116.59177400000,12,2
2170,3,39.77281400000,116.74096500000,8,2
2171,3,39.86445900000,116.27069500000,8,2
2172,3,39.79886400000,116.18197700000,8,2
2173,3,40.05177100000,116.38398500000,8,2
2174,3,39.92192300000,116.32926300000,8,2
2175,3,39.85670400000,116.30595200000,8,2
2176,3,39.84394500000,116.41595600000,8,2
2177,3,39.94767500000,116.35961000000,8,2
2178,3,39.95706700000,116.48364700000,8,2
2179,3,40.01343800000,116.47289800000,8,2
2180,3,40.05200600000,116.37096800000,8,2
2181,3,40.02215200000,116.68414300000,8,2
2182,3,39.86418900000,116.09352100000,8,2
2183,3,39.63101700000,116.38954800000,8,2
2184,3,39.94677700000,116.38367600000,8,2
2185,3,40.26617800000,116.76127700000,8,2
2186,3,39.91940100000,116.45663200000,8,2
2187,3,39.76393200000,116.30948600000,8,2
2188,3,40.06177100000,116.33298100000,8,2
2189,3,40.09793100000,116.55919600000,8,2
2190,3,39.79305700000,116.41367600000,8,2
2191,3,39.80514300000,116.22824200000,8,2
2192,3,39.89588600000,116.51350900000,8,2
2193,3,40.07895900000,116.41301700000,8,2
2194,3,40.14851300000,116.68114400000,8,2
2195,3,39.78524500000,116.64555500000,8,2
