CFBID,Capacity,Long,Lat,CFBRent
152,81,116.3460874,39.8579026,16000
153,15,115.7859974,39.62632165,12000
154,36,116.5939652,40.34011337,8000
155,9,116.3069634,39.88807577,20000
156,69,116.5939652,39.97855828,28696
157,45,116.0984028,39.94840323,14000
158,12,115.955141,40.45053593,8000
159,45,116.3200042,39.98860877,20000
160,57,116.2548064,39.95845553,16000
161,36,116.5287221,39.84784339,25000
162,18,116.7505658,40.34011337,10000
163,66,116.4895796,40.01875684,20000
164,42,116.0723467,40.2397205,13000
165,18,116.7114145,39.8579026,14000
166,51,116.3852162,40.00870803,20000
167,36,116.620064,39.82772264,12000
168,30,116.2548064,39.7774066,13000
169,54,116.5939652,39.8579026,25000
170,18,115.8510292,39.74720669,13000
171,12,116.2939233,40.13930497,12000
172,84,116.1635576,39.82772264,18000
173,27,116.7244649,40.17947479,14000
174,12,116.6592135,40.34011337,9000
175,54,116.3982601,39.97855828,25000
176,27,116.4895796,39.79753552,13000
177,15,116.0593201,39.70692738,14000
178,78,116.4373946,39.91824252,20000
179,15,116.4895796,40.13930497,13000
180,36,116.4243493,39.86796106,20000
181,69,116.3330455,39.81766108,18000
182,45,116.3852162,39.88807577,25000
184,30,116.7244649,40.09912929,13000
185,405,116.6592135,40.01875684,12000
186,63,116.5026268,39.95845553,25000
187,18,116.4373946,40.04890012,35000
188,36,116.620064,39.7774066,13000
189,81,116.4765328,39.89813205,25000
190,42,116.3330455,40.40034399,9000
191,21,116.2548064,39.94840323,16000
192,27,116.0593201,40.17947479,14000
193,45,116.1896251,39.94840323,15000
194,54,116.2678448,40.17947479,13000
195,18,116.7114145,40.2899189,10000
196,9,116.7636163,39.94840323,12000
197,24,116.5287221,40.11921792,12000
198,39,116.5548186,40.16943283,12000
199,15,115.9160907,39.65655647,13000
200,21,115.9681599,39.75727422,13000
201,445,116.1896251,39.90818763,14108
202,45,116.6461635,39.82772264,13000
203,63,116.3591298,40.10917381,13000
204,27,116.5417702,39.78747148,14000
205,24,116.2548064,40.00870803,20000
206,57,116.5287221,39.73713826,13000
207,243,116.7244649,39.86796106,12000
208,21,116.2417688,40.10917381,13000
209,209,116.1765909,40.02880511,16000
210,21,116.1635576,39.70692738,13000
211,42,116.1765909,39.91824252,15000
212,36,116.2939233,39.87801878,16000
213,54,116.4634864,40.15939055,14000
214,9,116.6461635,40.55092642,8000
215,18,116.2939233,40.00870803,18000
216,54,116.3982601,40.05894688,14000
217,9,115.9942008,39.93835031,15000
218,15,115.955141,40.05894688,15000
219,18,116.7505658,40.06899316,12000
220,45,116.620064,39.70692738,14000
221,36,116.7636163,39.8579026,12000
222,12,116.7897171,40.12926163,13000
223,48,116.4634864,39.93835031,25000
224,81,116.5548186,39.93835031,35000
226,18,116.7766667,40.15939055,13000
227,27,116.7636163,39.72706891,13000
228,12,116.2808837,39.82772264,16000
229,54,116.6461635,40.20959886,12000
230,48,116.5678672,39.89813205,20000
231,108,116.2417688,39.8579026,16000
232,317,116.5417702,39.89813205,32729
234,93,116.3330455,39.95845553,18000
235,84,116.2026599,39.78747148,13000
236,33,116.3721728,39.76734085,12000
237,51,116.4634864,39.82772264,35000
238,21,116.7505658,39.92829675,12000
239,60,116.3721728,39.78747148,20000
240,42,116.3200042,39.99865868,18000
241,81,116.4373946,39.9685072,30000
242,24,116.4504403,39.84784339,25000
243,21,116.2808837,39.86796106,22000
244,33,116.4113045,39.64647925,13000
245,24,116.2808837,39.67670784,14000
246,24,116.2808837,39.99865868,20000
247,18,116.4504403,40.29995806,8000
248,9,116.2678448,39.88807577,20000
249,18,116.3069634,39.93835031,22000
250,21,116.5548186,40.39030565,9000
251,15,116.0072227,39.63640098,14000
252,33,116.0202456,39.92829675,14000
253,42,116.5287221,40.07903898,13000
254,30,116.2678448,39.93835031,18000
255,72,116.4113045,39.81766108,20000
256,39,116.2808837,39.91824252,16000
